# 143GHz 217GHz 353GHz
9.818358421325683594e-01 9.905604124069213867e-01 9.907246828079223633e-01
9.816664457321166992e-01 9.904794096946716309e-01 9.906382560729980469e-01
9.814962744712829590e-01 9.903981685638427734e-01 9.905514121055603027e-01
9.813253283500671387e-01 9.903165698051452637e-01 9.904642105102539062e-01
9.811537265777587891e-01 9.902347326278686523e-01 9.903766512870788574e-01
9.809813499450683594e-01 9.901525974273681641e-01 9.902887344360351562e-01
9.808081984519958496e-01 9.900701642036437988e-01 9.902005195617675781e-01
9.806343913078308105e-01 9.899874329566955566e-01 9.901118278503417969e-01
9.804598093032836914e-01 9.899044036865234375e-01 9.900228381156921387e-01
9.802845120429992676e-01 9.898210763931274414e-01 9.899334907531738281e-01
9.801084995269775391e-01 9.897373914718627930e-01 9.898437857627868652e-01
9.799317121505737305e-01 9.896534681320190430e-01 9.897537231445312500e-01
9.797542095184326172e-01 9.895692467689514160e-01 9.896632432937622070e-01
9.795759916305541992e-01 9.894847273826599121e-01 9.895724654197692871e-01
9.793970584869384766e-01 9.893999099731445312e-01 9.894813299179077148e-01
9.792174100875854492e-01 9.893147945404052734e-01 9.893897771835327148e-01
9.790369868278503418e-01 9.892293214797973633e-01 9.892979264259338379e-01
9.788558483123779297e-01 9.891436100006103516e-01 9.892057180404663086e-01
9.786739945411682129e-01 9.890576004981994629e-01 9.891130924224853516e-01
9.784914255142211914e-01 9.889712333679199219e-01 9.890201687812805176e-01
9.783080816268920898e-01 9.888845682144165039e-01 9.889268279075622559e-01
9.781240224838256836e-01 9.887976646423339844e-01 9.888331890106201172e-01
9.779392480850219727e-01 9.887103438377380371e-01 9.887391924858093262e-01
9.777537584304809570e-01 9.886228442192077637e-01 9.886447787284851074e-01
9.775675535202026367e-01 9.885349273681640625e-01 9.885500669479370117e-01
9.773806333541870117e-01 9.884467720985412598e-01 9.884549975395202637e-01
9.771929383277893066e-01 9.883583188056945801e-01 9.883595705032348633e-01
9.770045280456542969e-01 9.882695078849792480e-01 9.882637262344360352e-01
9.768154025077819824e-01 9.881803989410400391e-01 9.881676435470581055e-01
9.766255617141723633e-01 9.880909919738769531e-01 9.880710840225219727e-01
9.764350056648254395e-01 9.880012869834899902e-01 9.879742264747619629e-01
9.762436747550964355e-01 9.879112243652343750e-01 9.878770709037780762e-01
9.760516881942749023e-01 9.878209233283996582e-01 9.877794981002807617e-01
9.758589267730712891e-01 9.877302646636962891e-01 9.876816272735595703e-01
9.756655097007751465e-01 9.876393079757690430e-01 9.875833392143249512e-01
9.754713177680969238e-01 9.875480532646179199e-01 9.874847531318664551e-01
9.752764105796813965e-01 9.874564409255981445e-01 9.873857498168945312e-01
9.750807285308837891e-01 9.873645305633544922e-01 9.872864484786987305e-01
9.748843908309936523e-01 9.872722625732421875e-01 9.871867895126342773e-01
9.746873378753662109e-01 9.871797561645507812e-01 9.870867729187011719e-01
9.744895696640014648e-01 9.870868921279907227e-01 9.869864583015441895e-01
9.742910265922546387e-01 9.869937300682067871e-01 9.868857264518737793e-01
9.740918278694152832e-01 9.869002103805541992e-01 9.867846965789794922e-01
9.738918542861938477e-01 9.868063926696777344e-01 9.866832494735717773e-01
9.736911654472351074e-01 9.867122769355773926e-01 9.865815043449401855e-01
9.734898209571838379e-01 9.866178035736083984e-01 9.864794015884399414e-01
9.732877016067504883e-01 9.865230917930603027e-01 9.863769412040710449e-01
9.730848670005798340e-01 9.864279627799987793e-01 9.862741827964782715e-01
9.728813767433166504e-01 9.863325953483581543e-01 9.861710667610168457e-01
9.726771116256713867e-01 9.862368106842041016e-01 9.860675334930419922e-01
9.724721312522888184e-01 9.861407876014709473e-01 9.859637022018432617e-01
9.722664356231689453e-01 9.860444068908691406e-01 9.858595728874206543e-01
9.720600247383117676e-01 9.859476685523986816e-01 9.857550263404846191e-01
9.718528985977172852e-01 9.858506917953491211e-01 9.856501817703247070e-01
9.716450572013854980e-01 9.857533574104309082e-01 9.855449795722961426e-01
9.714365005493164062e-01 9.856556653976440430e-01 9.854394197463989258e-01
9.712272286415100098e-01 9.855576753616333008e-01 9.853335022926330566e-01
9.710173010826110840e-01 9.854593276977539062e-01 9.852272868156433105e-01
9.708065986633300781e-01 9.853606820106506348e-01 9.851207137107849121e-01
9.705951809883117676e-01 9.852616786956787109e-01 9.850137829780578613e-01
9.703831076622009277e-01 9.851623773574829102e-01 9.849064946174621582e-01
9.701702594757080078e-01 9.850627183914184570e-01 9.847988486289978027e-01
9.699566960334777832e-01 9.849627614021301270e-01 9.846909046173095703e-01
9.697424769401550293e-01 9.848624467849731445e-01 9.845826625823974609e-01
9.695275425910949707e-01 9.847618341445922852e-01 9.844740033149719238e-01
9.693118333816528320e-01 9.846608638763427734e-01 9.843650460243225098e-01
9.690954685211181641e-01 9.845595955848693848e-01 9.842557311058044434e-01
9.688783884048461914e-01 9.844579696655273438e-01 9.841460585594177246e-01
9.686605930328369141e-01 9.843560457229614258e-01 9.840360879898071289e-01
9.684420824050903320e-01 9.842537641525268555e-01 9.839257597923278809e-01
9.682228565216064453e-01 9.841511249542236328e-01 9.838150739669799805e-01
9.680029749870300293e-01 9.840481877326965332e-01 9.837040901184082031e-01
9.677823185920715332e-01 9.839448928833007812e-01 9.835926890373229980e-01
9.675610065460205078e-01 9.838413000106811523e-01 9.834810495376586914e-01
9.673389792442321777e-01 9.837373495101928711e-01 9.833689928054809570e-01
9.671162366867065430e-01 9.836331009864807129e-01 9.832566380500793457e-01
9.668927788734436035e-01 9.835284948348999023e-01 9.831439256668090820e-01
9.666686654090881348e-01 9.834235310554504395e-01 9.830309152603149414e-01
9.664437770843505859e-01 9.833182692527770996e-01 9.829175472259521484e-01
9.662182927131652832e-01 9.832125902175903320e-01 9.828038215637207031e-01
9.659920334815979004e-01 9.831066727638244629e-01 9.826897978782653809e-01
9.657650589942932129e-01 9.830003976821899414e-01 9.825754165649414062e-01
9.655373692512512207e-01 9.828937649726867676e-01 9.824606776237487793e-01
9.653090834617614746e-01 9.827868342399597168e-01 9.823457002639770508e-01
